#queryIndex	queryItem	stringId	preferredName	annotation
176	SART3	9606.ENSP00000449386	SART3	Squamous cell carcinoma antigen recognized by T-cells 3; U6 snRNP-binding protein that functions as a recycling factor of the splicing machinery. Promotes the initial reassembly of U4 and U6 snRNPs following their ejection from the spliceosome during its maturation. Also binds U6atac snRNPs and may function as a recycling factor for U4atac/U6atac spliceosomal snRNP, an initial step in the assembly of U12-type spliceosomal complex. The U12-type spliceosomal complex plays a role in the splicing of introns with non- canonical splice sites. May also function as a substrate-targeting factor [...] 
177	MTMR2	9606.ENSP00000345752	MTMR2	Myotubularin-related protein 2; Phosphatase that acts on lipids with a phosphoinositol headgroup. Has phosphatase activity towards phosphatidylinositol 3- phosphate and phosphatidylinositol 3,5-bisphosphate. Binds phosphatidylinositol 4-phosphate, phosphatidylinositol 5-phosphate, phosphatidylinositol 3,5-bisphosphate and phosphatidylinositol 3,4,5- trisphosphate (By similarity). Stabilizes SBF2/MTMR13 at the membranes (By similarity). Specifically in peripheral nerves, stabilizes SBF2/MTMR13 protein (By similarity). Belongs to the protein-tyrosine phosphatase family. Non- receptor cla [...] 
178	KLHL13	9606.ENSP00000419803	KLHL13	Kelch-like protein 13; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex required for mitotic progression and cytokinesis. The BCR(KLHL9-KLHL13) E3 ubiquitin ligase complex mediates the ubiquitination of AURKB and controls the dynamic behavior of AURKB on mitotic chromosomes and thereby coordinates faithful mitotic progression and completion of cytokinesis.
179	B3GNT4	9606.ENSP00000319636	B3GNT4	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4; Beta-1,3-N-acetylglucosaminyltransferase involved in the synthesis of poly-N-acetyllactosamine. Has activity for type 2 oligosaccharides; Belongs to the glycosyltransferase 31 family.
180	MLYCD	9606.ENSP00000262430	MLYCD	Malonyl-CoA decarboxylase, mitochondrial; Catalyzes the conversion of malonyl-CoA to acetyl-CoA. In the fatty acid biosynthesis MCD selectively removes malonyl-CoA and thus assures that methyl-malonyl-CoA is the only chain elongating substrate for fatty acid synthase and that fatty acids with multiple methyl side chains are produced. In peroxisomes it may be involved in degrading intraperoxisomal malonyl-CoA, which is generated by the peroxisomal beta-oxidation of odd chain-length dicarboxylic fatty acids. Plays a role in the metabolic balance between glucose and lipid oxidation in mus [...] 
181	AMPD3	9606.ENSP00000379802	AMPD3	AMP deaminase 3; AMP deaminase plays a critical role in energy metabolism; Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family.
182	PNPLA8	9606.ENSP00000257694	PNPLA8	Calcium-independent phospholipase A2-gamma; Calcium-independent phospholipase A2, which catalyzes the hydrolysis of the sn-2 position of glycerophospholipids, PtdSer and to a lower extent PtdCho. Cleaves membrane phospholipids.
183	FGF13	9606.ENSP00000396198	FGF13	Fibroblast growth factor 13; Microtubule-binding protein which directly binds tubulin and is involved in both polymerization and stabilization of microtubules (By similarity). Through its action on microtubules, may participate to the refinement of axons by negatively regulating axonal and leading processes branching (By similarity). Plays a crucial role in neuron polarization and migration in the cerebral cortex and the hippocampus (By similarity). May regulate voltage-gated sodium channels transport and function. May also play a role in MAPK signaling (By similarity). Required for th [...] 
184	AHCY	9606.ENSP00000217426	AHCY	Adenosylhomocysteinase; Adenosylhomocysteine is a competitive inhibitor of S- adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine.
185	ECI2	9606.ENSP00000369461	ECI2	Enoyl-CoA delta isomerase 2, mitochondrial; Able to isomerize both 3-cis and 3-trans double bonds into the 2-trans form in a range of enoyl-CoA species. Has a preference for 3-trans substrates (By similarity).
186	ABCG4	9606.ENSP00000481728	ABCG4	ATP-binding cassette sub-family G member 4; May be involved in macrophage lipid homeostasis.
187	SEPTIN10	9606.ENSP00000349116	SEPTIN10	Septin-10; Filament-forming cytoskeletal GTPase. May play a role in cytokinesis (Potential); Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family.
188	CARS1	9606.ENSP00000369897	CARS1	Cysteine--tRNA ligase, cytoplasmic; cysteinyl-tRNA synthetase 1.
