gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome
MIGA2,Q7L4E1,Q7L4E1-3,0.24,0.31,593,349,Monomer Baseline / Stochastic Signal
SLC22A1,O15245,O15245-3,0.16,0.14,554,483,Monomer Baseline / Stochastic Signal
SLC22A1,O15245,O15245-4,0.16,0.19,554,353,Monomer Baseline / Stochastic Signal
POLR3E,Q9NVU0,Q9NVU0-3,0.16,0.16,708,654,Monomer Baseline / Stochastic Signal
POLR3E,Q9NVU0,Q9NVU0-2,0.16,0.18,708,666,Monomer Baseline / Stochastic Signal
RCSD1,Q6JBY9,Q6JBY9-2,0.11,0.04,416,106,Monomer Baseline / Stochastic Signal
LUZP1,Q86V48,Q86V48-2,0.29,0.29,1076,1026,Monomer Baseline / Stochastic Signal
LUZP1,Q86V48,Q86V48-3,0.29,0.29,1076,1053,Monomer Baseline / Stochastic Signal
NAA16,Q6N069,Q6N069-4,0.18,0.19,864,429,Monomer Baseline / Stochastic Signal
NAA16,Q6N069,Q6N069-2,0.18,0.13,864,530,Monomer Baseline / Stochastic Signal
NAA16,Q6N069,Q6N069-3,0.18,0.13,864,516,Monomer Baseline / Stochastic Signal
NAA16,Q6N069,Q6N069-5,0.18,0.36,864,311,Monomer Baseline / Stochastic Signal
LINC00470,Q9BZP3,Q9BZP3-2,0.14,0.12,86,64,Monomer Baseline / Stochastic Signal
RPS6KC1,Q96S38,Q96S38-2,0.21,0.26,1066,1054,Monomer Baseline / Stochastic Signal
SERPINB8,P50452,P50452-3,0.16,0.37,374,192,Monomer Baseline / Stochastic Signal
SERPINB8,P50452,P50452-2,0.16,0.11,374,242,Monomer Baseline / Stochastic Signal
MTG2,Q9H4K7,Q9H4K7-2,0.14,0.16,406,178,Monomer Baseline / Stochastic Signal
RNFT2,Q96EX2,Q96EX2-5,0.55,0.44,444,420,Monomer Baseline / Stochastic Signal
RNFT2,Q96EX2,Q96EX2-4,0.55,0.1,444,192,Monomer Baseline / Stochastic Signal
RHD,Q02161,Q02161-2,0.74,0.34,417,321,Ablation from >0.7 Canonical
RHD,Q02161,Q02161-3,0.74,0.42,417,316,Ablation from >0.7 Canonical
OSBPL7,Q9BZF2,Q9BZF2-2,0.25,0.33,842,357,Monomer Baseline / Stochastic Signal
TIGIT,Q495A1,Q495A1-2,0.48,0.63,244,170,Monomer Baseline / Stochastic Signal
ESRRG,P62508,P62508-2,0.55,0.56,458,435,Monomer Baseline / Stochastic Signal
ZNF691,Q5VV52,Q5VV52-3,0.1,0.1,315,284,Monomer Baseline / Stochastic Signal
KHDC4,Q7Z7F0,Q7Z7F0-2,0.16,0.16,614,564,Monomer Baseline / Stochastic Signal
SCRN2,Q96FV2,Q96FV2-2,0.19,0.19,425,378,Monomer Baseline / Stochastic Signal
TBC1D8B,Q0IIM8,Q0IIM8-3,0.21,0.29,1120,632,Monomer Baseline / Stochastic Signal
TBC1D8B,Q0IIM8,Q0IIM8-2,0.21,0.21,1120,630,Monomer Baseline / Stochastic Signal
RAP1GAP2,Q684P5,Q684P5-3,0.52,0.51,730,711,Monomer Baseline / Stochastic Signal
VMP1,Q96GC9,Q96GC9-2,0.12,0.11,406,214,Monomer Baseline / Stochastic Signal
UBE2F,Q969M7,Q969M7-4,0.09,0.33,185,120,Monomer Baseline / Stochastic Signal
PPIA,P62937,P62937-2,0.29,0.3,165,105,Monomer Baseline / Stochastic Signal
SLC22A12,Q96S37,Q96S37-3,0.14,0.25,553,332,Monomer Baseline / Stochastic Signal
LHX8,Q68G74,Q68G74-2,0.14,0.13,356,346,Monomer Baseline / Stochastic Signal
GOLGA8B,A8MQT2,A8MQT2-2,0.3,0.3,603,460,Monomer Baseline / Stochastic Signal
ZNF620,Q6ZNG0,Q6ZNG0-2,0.14,0.1,422,308,Monomer Baseline / Stochastic Signal
CHADL,Q6NUI6,Q6NUI6-2,0.18,0.18,762,686,Monomer Baseline / Stochastic Signal
ARMH3,Q5T2E6,Q5T2E6-2,0.18,0.4,689,265,Monomer Baseline / Stochastic Signal
GNB1,P62873,P62873-2,0.16,0.13,340,332,Monomer Baseline / Stochastic Signal
SYS1,Q8N2H4,Q8N2H4-2,0.29,0.18,156,76,Monomer Baseline / Stochastic Signal
TWNK,Q96RR1,Q96RR1-3,0.49,0.17,684,531,Monomer Baseline / Stochastic Signal
TWNK,Q96RR1,Q96RR1-2,0.49,0.2,684,582,Monomer Baseline / Stochastic Signal
PKMYT1,Q99640,Q99640-4,0.25,0.42,499,430,Monomer Baseline / Stochastic Signal
PKMYT1,Q99640,Q99640-3,0.25,0.37,499,490,Monomer Baseline / Stochastic Signal
MINDY1,Q8N5J2,Q8N5J2-2,0.14,0.15,469,327,Monomer Baseline / Stochastic Signal
MINDY1,Q8N5J2,Q8N5J2-4,0.14,0.13,469,374,Monomer Baseline / Stochastic Signal
PPP1R18,Q6NYC8,Q6NYC8-4,0.16,0.11,613,165,Monomer Baseline / Stochastic Signal
SEPTIN7,Q16181,Q16181-2,0.55,0.58,437,436,Monomer Baseline / Stochastic Signal
C15orf32,Q32M92,Q32M92-2,0.14,0.12,178,165,Monomer Baseline / Stochastic Signal
GAB2,Q9UQC2,Q9UQC2-2,0.15,0.16,676,638,Monomer Baseline / Stochastic Signal
CCDC47,Q96A33,Q96A33-2,0.19,0.21,483,480,Monomer Baseline / Stochastic Signal
WASHC4,Q2M389,Q2M389-2,0.21,0.18,1173,851,Monomer Baseline / Stochastic Signal
EIF3K,Q9UBQ5,Q9UBQ5-2,0.63,0.65,218,211,Conserved at >0.6
GINS4,Q9BRT9,Q9BRT9-2,0.2,0.12,223,100,Monomer Baseline / Stochastic Signal
MORC2,Q9Y6X9,Q9Y6X9-2,0.41,0.33,1032,970,Monomer Baseline / Stochastic Signal
NOVA1,P51513,P51513-2,0.2,0.16,507,181,Monomer Baseline / Stochastic Signal
WDR88,Q6ZMY6,Q6ZMY6-2,0.19,0.2,472,426,Monomer Baseline / Stochastic Signal
GOLGA8F,P0DX52,P0DX52-2,0.27,0.39,636,118,Monomer Baseline / Stochastic Signal
ELP3,Q9H9T3,Q9H9T3-4,0.2,0.2,547,428,Monomer Baseline / Stochastic Signal
ELP3,Q9H9T3,Q9H9T3-2,0.2,0.21,547,533,Monomer Baseline / Stochastic Signal
ELP3,Q9H9T3,Q9H9T3-5,0.2,0.15,547,455,Monomer Baseline / Stochastic Signal
PRKD2,Q9BZL6,Q9BZL6-2,0.27,0.21,878,721,Monomer Baseline / Stochastic Signal
TFR2,Q9UP52,Q9UP52-2,0.78,0.88,801,630,Conserved at >0.7
LEMD1,Q68G75,Q68G75-4,0.12,0.31,181,70,Monomer Baseline / Stochastic Signal
DKC1,O60832,O60832-2,0.13,0.24,514,420,Monomer Baseline / Stochastic Signal
LAS1L,Q9Y4W2,Q9Y4W2-4,0.33,0.53,734,291,Monomer Baseline / Stochastic Signal
TTC31,Q49AM3,Q49AM3-2,0.15,0.14,519,285,Monomer Baseline / Stochastic Signal
EPS8,Q12929,Q12929-2,0.18,0.17,822,562,Monomer Baseline / Stochastic Signal
ZWILCH,Q9H900,Q9H900-2,0.21,0.22,591,477,Monomer Baseline / Stochastic Signal
ZNF791,Q3KP31,Q3KP31-2,0.14,0.14,576,544,Monomer Baseline / Stochastic Signal
TGM1,P22735,P22735-2,0.71,0.24,817,375,Ablation from >0.7 Canonical
CEP104,O60308,O60308-3,0.24,0.17,925,554,Monomer Baseline / Stochastic Signal
SANBR,Q6NSI8,Q6NSI8-3,0.17,0.16,718,572,Monomer Baseline / Stochastic Signal
SANBR,Q6NSI8,Q6NSI8-4,0.17,0.14,718,379,Monomer Baseline / Stochastic Signal
SANBR,Q6NSI8,Q6NSI8-2,0.17,0.18,718,707,Monomer Baseline / Stochastic Signal
TCTN3,Q6NUS6,Q6NUS6-4,0.38,0.13,607,211,Monomer Baseline / Stochastic Signal
HNRNPH3,P31942,P31942-4,0.13,0.12,346,215,Monomer Baseline / Stochastic Signal
HNRNPH3,P31942,P31942-3,0.13,0.12,346,297,Monomer Baseline / Stochastic Signal
EXO1,Q9UQ84,Q9UQ84-4,0.17,0.18,846,803,Monomer Baseline / Stochastic Signal
SUMF1,Q8NBK3,Q8NBK3-2,0.19,0.14,374,284,Monomer Baseline / Stochastic Signal
USP48,Q86UV5,Q86UV5-7,0.2,0.14,1035,485,Monomer Baseline / Stochastic Signal
USP48,Q86UV5,Q86UV5-3,0.2,0.16,1035,703,Monomer Baseline / Stochastic Signal
C7orf78,A0A1B0GVB3,A0A1B0GVB3-2,0.08,0.07,256,204,Monomer Baseline / Stochastic Signal
SKIL,P12757,P12757-4,0.24,0.32,684,399,Monomer Baseline / Stochastic Signal
SKIL,P12757,P12757-5,0.24,0.21,684,664,Monomer Baseline / Stochastic Signal
CFAP410,O43822,O43822-2,0.23,0.27,256,215,Monomer Baseline / Stochastic Signal
TADA3,O75528,O75528-2,0.17,0.23,432,369,Monomer Baseline / Stochastic Signal
PRLR,P16471,P16471-3,0.17,0.16,622,230,Monomer Baseline / Stochastic Signal
PRLR,P16471,P16471-5,0.17,0.14,622,349,Monomer Baseline / Stochastic Signal
PRLR,P16471,P16471-6,0.17,0.15,622,288,Monomer Baseline / Stochastic Signal
POU2F3,Q9UKI9,Q9UKI9-3,0.36,0.37,436,432,Monomer Baseline / Stochastic Signal
MRPL47,Q9HD33,Q9HD33-3,0.08,0.07,250,140,Monomer Baseline / Stochastic Signal
DSN1,Q9H410,Q9H410-4,0.17,0.13,356,340,Monomer Baseline / Stochastic Signal
TMEM217,Q8N7C4,Q8N7C4-2,0.12,0.12,229,211,Monomer Baseline / Stochastic Signal
GULP1,Q9UBP9,Q9UBP9-4,0.31,0.26,304,291,Monomer Baseline / Stochastic Signal
HERC6,Q8IVU3,Q8IVU3-3,0.26,0.36,1022,306,Monomer Baseline / Stochastic Signal
FMNL3,Q8IVF7,Q8IVF7-3,0.56,0.57,1028,1027,Monomer Baseline / Stochastic Signal
ZNF658,Q5TYW1,Q5TYW1-2,0.19,0.15,1059,617,Monomer Baseline / Stochastic Signal
ATXN2L,Q8WWM7,Q8WWM7-2,0.19,0.21,1075,1062,Monomer Baseline / Stochastic Signal
ATXN2L,Q8WWM7,Q8WWM7-5,0.19,0.2,1075,1044,Monomer Baseline / Stochastic Signal
ATXN2L,Q8WWM7,Q8WWM7-8,0.19,0.2,1075,1044,Monomer Baseline / Stochastic Signal
ATXN2L,Q8WWM7,Q8WWM7-9,0.19,0.2,1075,1062,Monomer Baseline / Stochastic Signal
ATXN2L,Q8WWM7,Q8WWM7-4,0.19,0.19,1075,1044,Monomer Baseline / Stochastic Signal
NPAS3,Q8IXF0,Q8IXF0-6,0.29,0.35,933,257,Monomer Baseline / Stochastic Signal
TREX1,Q9NSU2,Q9NSU2-2,0.74,0.74,314,304,Conserved at >0.7
CHD1L,Q86WJ1,Q86WJ1-5,0.19,0.17,897,616,Monomer Baseline / Stochastic Signal
CHD1L,Q86WJ1,Q86WJ1-4,0.19,0.17,897,784,Monomer Baseline / Stochastic Signal
BNIPL,Q7Z465,Q7Z465-2,0.19,0.29,357,275,Monomer Baseline / Stochastic Signal
ZNF586,Q9NXT0,Q9NXT0-3,0.15,0.12,402,359,Monomer Baseline / Stochastic Signal
KCNIP1,Q9NZI2,Q9NZI2-3,0.21,0.38,227,188,Monomer Baseline / Stochastic Signal
MAPK9,P45984,P45984-2,0.16,0.16,424,382,Monomer Baseline / Stochastic Signal
GDNF,P39905,P39905-5,0.47,0.6,211,159,Monomer Baseline / Stochastic Signal
WDPCP,O95876,O95876-2,0.16,0.19,746,618,Monomer Baseline / Stochastic Signal
ENO1,P06733,P06733-2,0.96,0.85,434,341,Conserved at >0.8
PLA2G4B,P0C869,P0C869-4,0.29,0.19,781,482,Monomer Baseline / Stochastic Signal
ADAMTS6,Q9UKP5,Q9UKP5-3,0.21,0.14,1117,468,Monomer Baseline / Stochastic Signal
ADAMTS6,Q9UKP5,Q9UKP5-4,0.21,0.24,1117,292,Monomer Baseline / Stochastic Signal
GDAP1,Q8TB36,Q8TB36-2,0.18,0.3,358,290,Monomer Baseline / Stochastic Signal
GPR161,Q8N6U8,Q8N6U8-2,0.14,0.15,529,407,Monomer Baseline / Stochastic Signal
GPR161,Q8N6U8,Q8N6U8-3,0.14,0.26,529,397,Monomer Baseline / Stochastic Signal
MSMO1,Q15800,Q15800-2,0.19,0.17,293,162,Monomer Baseline / Stochastic Signal
SEPHS1,P49903,P49903-3,0.89,0.87,392,325,Conserved at >0.8
SEPHS1,P49903,P49903-4,0.89,0.89,392,324,Conserved at >0.8
DUSP11,O75319-1,O75319,0.13,0.13,377,330,Monomer Baseline / Stochastic Signal
PDE7A,Q13946,Q13946-3,0.17,0.13,482,424,Monomer Baseline / Stochastic Signal
TFCP2,Q12800,Q12800-4,0.26,0.26,502,501,Monomer Baseline / Stochastic Signal
WHRN,Q9P202,Q9P202-3,0.2,0.15,907,524,Monomer Baseline / Stochastic Signal
TMPPE,Q6ZT21,Q6ZT21-2,0.15,0.14,453,316,Monomer Baseline / Stochastic Signal
DMKN,Q6E0U4,Q6E0U4-13,0.21,0.11,476,123,Monomer Baseline / Stochastic Signal
DMKN,Q6E0U4,Q6E0U4-3,0.21,0.15,476,386,Monomer Baseline / Stochastic Signal
DMKN,Q6E0U4,Q6E0U4-11,0.21,0.1,476,132,Monomer Baseline / Stochastic Signal
OVOL2,Q9BRP0,Q9BRP0-2,0.11,0.08,275,143,Monomer Baseline / Stochastic Signal
MEIOC,A2RUB1,A2RUB1-5,0.18,0.18,952,825,Monomer Baseline / Stochastic Signal
MEIOC,A2RUB1,A2RUB1-2,0.18,0.16,952,786,Monomer Baseline / Stochastic Signal
HNRNPUL1,Q9BUJ2,Q9BUJ2-4,0.18,0.17,856,756,Monomer Baseline / Stochastic Signal
CALHM4,Q5JW98,Q5JW98-3,0.13,0.16,314,171,Monomer Baseline / Stochastic Signal
CALHM4,Q5JW98,Q5JW98-2,0.13,0.11,314,128,Monomer Baseline / Stochastic Signal
GPR107,Q5VW38,Q5VW38-3,0.17,0.19,600,300,Monomer Baseline / Stochastic Signal
TCP11L2,Q8N4U5,Q8N4U5-2,0.18,0.3,519,266,Monomer Baseline / Stochastic Signal
CARF,Q8N187,Q8N187-3,0.19,0.2,725,649,Monomer Baseline / Stochastic Signal
EDNRA,P25101,P25101-5,0.12,0.43,427,202,Monomer Baseline / Stochastic Signal
EDNRA,P25101,P25101-3,0.12,0.34,427,187,Monomer Baseline / Stochastic Signal
TRIM74,Q86UV6,Q86UV6-2,0.6,0.56,250,249,Ablation from >0.6 Canonical
SPACA3,Q8IXA5,Q8IXA5-2,0.08,0.07,215,146,Monomer Baseline / Stochastic Signal
BTBD6,Q96KE9-1,Q96KE9-2,0.68,0.8,485,410,Conserved at >0.6
ANKS3,Q6ZW76,Q6ZW76-2,0.33,0.34,656,583,Monomer Baseline / Stochastic Signal
SLC44A1,Q8WWI5,Q8WWI5-2,0.25,0.23,657,654,Monomer Baseline / Stochastic Signal
SLC44A1,Q8WWI5,Q8WWI5-3,0.25,0.27,657,652,Monomer Baseline / Stochastic Signal
CPNE9,Q8IYJ1,Q8IYJ1-2,0.67,0.5,553,503,Ablation from >0.6 Canonical
SLC47A1,Q96FL8,Q96FL8-2,0.14,0.51,570,290,Monomer Baseline / Stochastic Signal
DECR2,Q9NUI1,Q9NUI1-3,0.66,0.47,292,244,Ablation from >0.6 Canonical
DISC1,Q9NRI5,Q9NRI5-9,0.28,0.3,854,662,Monomer Baseline / Stochastic Signal
DISC1,Q9NRI5,Q9NRI5-6,0.28,0.35,854,579,Monomer Baseline / Stochastic Signal
DISC1,Q9NRI5,Q9NRI5-7,0.28,0.37,854,559,Monomer Baseline / Stochastic Signal
DISC1,Q9NRI5,Q9NRI5-3,0.28,0.3,854,678,Monomer Baseline / Stochastic Signal
HAX1,O00165,O00165-3,0.16,0.14,279,253,Monomer Baseline / Stochastic Signal
PBX3,P40426,P40426-2,0.14,0.15,434,351,Monomer Baseline / Stochastic Signal
PBX3,P40426,P40426-5,0.14,0.16,434,359,Monomer Baseline / Stochastic Signal
PBX3,P40426,P40426-3,0.14,0.13,434,253,Monomer Baseline / Stochastic Signal
PLPP5,Q8NEB5,Q8NEB5-3,0.33,0.12,264,223,Monomer Baseline / Stochastic Signal
PLPP5,Q8NEB5,Q8NEB5-2,0.33,0.12,264,216,Monomer Baseline / Stochastic Signal
CIART,Q8N365,Q8N365-2,0.18,0.04,385,123,Monomer Baseline / Stochastic Signal
IFRD1,O00458,O00458-2,0.22,0.22,451,401,Monomer Baseline / Stochastic Signal
ARMC6,Q6NXE6,Q6NXE6-2,0.2,0.15,501,476,Monomer Baseline / Stochastic Signal
TRAPPC3L,Q5T215,Q5T215-2,0.8,0.76,181,97,Ablation from >0.8 Canonical
GALNT1,Q10472,Q10472-2,0.16,0.13,559,105,Monomer Baseline / Stochastic Signal
ST8SIA4,Q92187,Q92187-2,0.36,0.32,359,168,Monomer Baseline / Stochastic Signal
FBXW10B,O95170,O95170-2,0.19,0.28,752,252,Monomer Baseline / Stochastic Signal
DAGLB,Q8NCG7,Q8NCG7-2,0.18,0.46,672,391,Monomer Baseline / Stochastic Signal
UNC5A,Q6ZN44,Q6ZN44-2,0.18,0.1,842,301,Monomer Baseline / Stochastic Signal
ABCB5,Q2M3G0-1,Q2M3G0-3,0.62,0.17,812,126,Ablation from >0.6 Canonical
INPP5K,Q9BT40,Q9BT40-2,0.21,0.21,448,372,Monomer Baseline / Stochastic Signal
SKA3,Q8IX90,Q8IX90-3,0.23,0.23,412,388,Monomer Baseline / Stochastic Signal
SKA3,Q8IX90,Q8IX90-2,0.23,0.63,412,35,Monomer Baseline / Stochastic Signal
TAGAP,Q8N103,Q8N103-2,0.36,0.18,731,553,Monomer Baseline / Stochastic Signal
TAGAP,Q8N103,Q8N103-4,0.36,0.24,731,266,Monomer Baseline / Stochastic Signal
TBR1,Q16650,Q16650-2,0.15,0.17,682,395,Monomer Baseline / Stochastic Signal
ENOX2,Q16206,Q16206-2,0.34,0.35,610,581,Monomer Baseline / Stochastic Signal
MPP1,Q00013,Q00013-2,0.15,0.16,466,436,Monomer Baseline / Stochastic Signal
SUMF2,Q8NBJ7,Q8NBJ7-2,0.32,0.57,301,213,Monomer Baseline / Stochastic Signal
MTF2,Q9Y483,Q9Y483-2,0.15,0.12,593,262,Monomer Baseline / Stochastic Signal
MTF2,Q9Y483,Q9Y483-3,0.15,0.15,593,491,Monomer Baseline / Stochastic Signal
FUOM,A2VDF0,A2VDF0-2,0.85,0.83,154,134,Conserved at >0.8
PUSL1,Q8N0Z8,Q8N0Z8-2,0.87,0.38,303,142,Ablation from >0.8 Canonical
AIDA,Q96BJ3,Q96BJ3-2,0.17,0.08,306,141,Monomer Baseline / Stochastic Signal
GDPD5,Q8WTR4,Q8WTR4-5,0.16,0.15,605,360,Monomer Baseline / Stochastic Signal
GDPD5,Q8WTR4,Q8WTR4-3,0.16,0.14,605,467,Monomer Baseline / Stochastic Signal
GDPD5,Q8WTR4,Q8WTR4-4,0.16,0.15,605,387,Monomer Baseline / Stochastic Signal
MLYCD,O95822,O95822-2,0.75,0.8,493,454,Conserved at >0.7
LAP3,P28838,P28838-2,0.84,0.86,519,488,Conserved at >0.8
NABP2,Q9BQ15,Q9BQ15-2,0.44,0.03,211,112,Monomer Baseline / Stochastic Signal
P3H3,Q8IVL6,Q8IVL6-2,0.6,0.18,736,551,Ablation from >0.6 Canonical
PIK3R1,P27986,P27986-5,0.24,0.28,724,361,Monomer Baseline / Stochastic Signal
MED16,Q9Y2X0,Q9Y2X0-5,0.18,0.19,877,663,Monomer Baseline / Stochastic Signal
MED16,Q9Y2X0,Q9Y2X0-2,0.18,0.18,877,841,Monomer Baseline / Stochastic Signal
ZMIZ1,Q9ULJ6,Q9ULJ6-3,0.24,0.29,1067,943,Monomer Baseline / Stochastic Signal
SORCS1,Q8WY21,Q8WY21-4,0.62,0.63,1168,1159,Conserved at >0.6
OTUD6B,Q8N6M0,Q8N6M0-2,0.14,0.11,293,192,Monomer Baseline / Stochastic Signal
IFI44L,Q53G44,Q53G44-2,0.15,0.27,452,161,Monomer Baseline / Stochastic Signal
CD22,P20273,P20273-4,0.17,0.16,847,751,Monomer Baseline / Stochastic Signal
B4GALNT2,Q8NHY0,Q8NHY0-3,0.79,0.9,566,480,Conserved at >0.7
FGG,P02679,P02679-2,0.2,0.19,453,437,Monomer Baseline / Stochastic Signal
CAND1,Q86VP6,Q86VP6-3,0.22,0.29,1230,403,Monomer Baseline / Stochastic Signal
HPD,P32754,P32754-2,0.93,0.91,393,354,Conserved at >0.8
NCAM1,P13591-1,P13591-6,0.42,0.61,848,364,Monomer Baseline / Stochastic Signal
NCAM1,P13591-1,P13591-4,0.42,0.41,848,726,Monomer Baseline / Stochastic Signal
AGPAT3,Q9NRZ7,Q9NRZ7-2,0.14,0.14,376,314,Monomer Baseline / Stochastic Signal
COA6,Q5JTJ3,Q5JTJ3-3,0.53,0.54,125,79,Monomer Baseline / Stochastic Signal
UBE3A,Q05086,Q05086-2,0.23,0.23,875,852,Monomer Baseline / Stochastic Signal
S100PBP,Q96BU1,Q96BU1-2,0.13,0.12,408,342,Monomer Baseline / Stochastic Signal
IL31RA,Q8NI17,Q8NI17-10,0.16,0.14,732,611,Monomer Baseline / Stochastic Signal
IL31RA,Q8NI17,Q8NI17-3,0.16,0.16,732,662,Monomer Baseline / Stochastic Signal
IL31RA,Q8NI17,Q8NI17-9,0.16,0.14,732,560,Monomer Baseline / Stochastic Signal
IL31RA,Q8NI17,Q8NI17-6,0.16,0.16,732,622,Monomer Baseline / Stochastic Signal
KLHL2,O95198,O95198-3,0.54,0.48,593,505,Monomer Baseline / Stochastic Signal
CLIP4,Q8N3C7,Q8N3C7-3,0.19,0.18,705,599,Monomer Baseline / Stochastic Signal
ACSS1,Q9NUB1,Q9NUB1-4,0.16,0.26,689,575,Monomer Baseline / Stochastic Signal
ANAPC7,Q9UJX3,Q9UJX3-2,0.86,0.91,565,503,Conserved at >0.8
IGF1,P05019,P05019-4,0.13,0.13,195,158,Monomer Baseline / Stochastic Signal
HDAC8,Q9BY41,Q9BY41-5,0.21,0.3,377,256,Monomer Baseline / Stochastic Signal
HDAC8,Q9BY41,Q9BY41-8,0.21,0.33,377,146,Monomer Baseline / Stochastic Signal
MRAS,O14807,O14807-2,0.7,0.15,208,132,Ablation from >0.7 Canonical
MMP2,P08253,P08253-2,0.15,0.6,660,584,Monomer Baseline / Stochastic Signal
NDST2,P52849,P52849-2,0.64,0.31,883,377,Ablation from >0.6 Canonical
FGGY,Q96C11,Q96C11-2,0.91,0.44,551,246,Ablation from >0.8 Canonical
FGGY,Q96C11,Q96C11-4,0.91,0.91,551,439,Conserved at >0.8
FGGY,Q96C11,Q96C11-6,0.91,0.84,551,252,Conserved at >0.8
CREB5,Q02930,Q02930-3,0.27,0.28,508,475,Monomer Baseline / Stochastic Signal
CREB5,Q02930,Q02930-2,0.27,0.27,508,501,Monomer Baseline / Stochastic Signal
LUC7L,Q9NQ29,Q9NQ29-2,0.11,0.14,371,325,Monomer Baseline / Stochastic Signal
LUC7L,Q9NQ29,Q9NQ29-3,0.11,0.11,371,354,Monomer Baseline / Stochastic Signal
DDX42,Q86XP3,Q86XP3-2,0.37,0.36,938,819,Monomer Baseline / Stochastic Signal
ZNF718,Q3SXZ3,Q3SXZ3-2,0.14,0.12,478,446,Monomer Baseline / Stochastic Signal
PTPN22,Q9Y2R2,Q9Y2R2-2,0.17,0.16,807,691,Monomer Baseline / Stochastic Signal
STMN3,Q9NZ72,Q9NZ72-2,0.19,0.1,180,169,Monomer Baseline / Stochastic Signal
CALB1,P05937,P05937-2,0.15,0.19,261,204,Monomer Baseline / Stochastic Signal
TRIT1,Q9H3H1,Q9H3H1-2,0.14,0.11,467,326,Monomer Baseline / Stochastic Signal
TRIT1,Q9H3H1,Q9H3H1-6,0.14,0.41,467,163,Monomer Baseline / Stochastic Signal
CDK5RAP3,Q96JB5,Q96JB5-3,0.25,0.08,506,281,Monomer Baseline / Stochastic Signal
BTBD9,Q96Q07,Q96Q07-3,0.7,0.77,612,544,Conserved at >0.7
ATP2A3,Q93084-1,Q93084,0.41,0.39,1043,999,Monomer Baseline / Stochastic Signal
ATP2A3,Q93084-1,Q93084-4,0.41,0.29,1043,998,Monomer Baseline / Stochastic Signal
ATP2A3,Q93084-1,Q93084-3,0.41,0.27,1043,1029,Monomer Baseline / Stochastic Signal
ATP2A3,Q93084-1,Q93084-7,0.41,0.27,1043,1033,Monomer Baseline / Stochastic Signal
CAGE1,Q8TC20,Q8TC20-4,0.33,0.35,777,700,Monomer Baseline / Stochastic Signal
CAGE1,Q8TC20,Q8TC20-2,0.33,0.36,777,641,Monomer Baseline / Stochastic Signal
ENTREP1,Q15884,Q15884-1,0.25,0.18,450,289,Monomer Baseline / Stochastic Signal
SPDYE2,Q495Y8,Q495Y8-2,0.22,0.29,402,258,Monomer Baseline / Stochastic Signal
SGPP2,Q8IWX5,Q8IWX5-2,0.21,0.15,399,271,Monomer Baseline / Stochastic Signal
NEFM,P07197,P07197-2,0.3,0.18,916,540,Monomer Baseline / Stochastic Signal
ILF3,Q12906,Q12906-5,0.26,0.35,894,690,Monomer Baseline / Stochastic Signal
ILF3,Q12906,Q12906-2,0.26,0.33,894,702,Monomer Baseline / Stochastic Signal
SLC4A8,Q2Y0W8,Q2Y0W8-6,0.7,0.51,1093,691,Ablation from >0.7 Canonical
SLC4A8,Q2Y0W8,Q2Y0W8-3,0.7,0.7,1093,1044,Conserved at >0.7
SLC4A8,Q2Y0W8,Q2Y0W8-5,0.7,0.71,1093,1040,Conserved at >0.7
TPTE2,Q6XPS3,Q6XPS3-7,0.16,0.17,522,488,Monomer Baseline / Stochastic Signal
TPTE2,Q6XPS3,Q6XPS3-6,0.16,0.19,522,193,Monomer Baseline / Stochastic Signal
PYHIN1,Q6K0P9,Q6K0P9-3,0.19,0.18,492,461,Monomer Baseline / Stochastic Signal
SPATC1,Q76KD6,Q76KD6-2,0.36,0.15,591,441,Monomer Baseline / Stochastic Signal
PCDHGB2,Q9Y5G2,Q9Y5G2-2,0.48,0.52,931,811,Monomer Baseline / Stochastic Signal
DNAAF1,Q8NEP3,Q8NEP3-3,0.18,0.17,725,418,Monomer Baseline / Stochastic Signal
AUP1,Q9Y679,Q9Y679-3,0.21,0.22,410,373,Monomer Baseline / Stochastic Signal
ELOA,Q14241-1,Q14241,0.18,0.17,798,772,Monomer Baseline / Stochastic Signal
CDKL3,Q8IVW4,Q8IVW4-2,0.22,0.21,592,455,Monomer Baseline / Stochastic Signal
GSTZ1,O43708,O43708-2,0.93,0.84,216,161,Conserved at >0.8
PCDHA2,Q9Y5H9,Q9Y5H9-2,0.53,0.58,948,824,Monomer Baseline / Stochastic Signal
PCDHA2,Q9Y5H9,Q9Y5H9-3,0.53,0.59,948,808,Monomer Baseline / Stochastic Signal
SLC4A1AP,Q9BWU0-1,Q9BWU0,0.17,0.16,796,742,Monomer Baseline / Stochastic Signal
ATP1B1,P05026,P05026-2,0.17,0.18,303,301,Monomer Baseline / Stochastic Signal
ZC3H12D,A2A288,A2A288-3,0.29,0.1,527,227,Monomer Baseline / Stochastic Signal
SYT16,Q17RD7,Q17RD7-3,0.17,0.16,645,203,Monomer Baseline / Stochastic Signal
RHBDL3,P58872,P58872-2,0.2,0.19,404,306,Monomer Baseline / Stochastic Signal
CAMK2D,Q13557,Q13557-12,0.26,0.26,499,478,Monomer Baseline / Stochastic Signal
CAMK2D,Q13557,Q13557-8,0.26,0.25,499,478,Monomer Baseline / Stochastic Signal
